Tiêu đề,Đường trước nhà,Số tầng,Số phòng ngủ,Chỗ để xe,Giá,Diện tích,Kích thước,Ngày đăng,Địa chỉ
Bán nhà biệt thự sân vườn hồ bơi Trần Ngọc Diện 18x40m giá 95 tỷ,30m,3,10,Không,95 tỷ,720 m²,N/A,07/10/2025,"Đường Trần Ngọc Diện, Phường An Khánh, Hồ Chí Minh"
"Bán biệt thự mặt tiền Trần Ngọc Diện 20x25m , CN 450m2 giá bán 115 tỷ",20m,2,5,Không,115 tỷ,450 m²,20x25m,07/10/2025,"Đường Trần Ngọc Diện, Phường An Khánh, Hồ Chí Minh"
"MT Trường Sa ,Bình Thanh ,CN 120m2 ,Giá Chỉ 39 ty",20m,5,8,Có,39 tỷ,120 m²,6x18m,07/10/2025,"Đường Trường Sa, Phường Thạnh Mỹ Tây, Hồ Chí Minh"
"NHÀ 3 TẦNG MẶT TIỀN KHU CƯ XÁ ĐIỆN LỰC, TRƯỜNG THỌ THỦ ĐỨC",8m,3,5,Có,"8,99 tỷ",115 m²,"9,3x13m",07/10/2025,"Đường Số 2, Phường Thủ Đức, Hồ Chí Minh"
"🏠 BÁN NHÀ MẶT ĐẤT 5 TẦNG – KHU NHÀ Ở THƯƠNG MẠI 319 LÝ THƯỜNG KIỆT, Q.11",N/A,5,N/A,Không,"25,5 tỷ",72 m²,N/A,07/10/2025,"Đường Lý Thường Kiệt, Phường Phú Thọ, Hồ Chí Minh"
"Bán đất dự án Sở Văn Hóa Thông Tin, Quận 9, TP Thủ Đức. giá đầu tư",12m,N/A,N/A,Không,67 triệu / m²,90 m²,6x15m,07/10/2025,"Đường Liên Phường, Phường Long Trường, Hồ Chí Minh"
"Chính chủ bán gấp nhà 2 mặt tiền đường Cộng Hòa,Q Tân Bình, Diện tích 7x30m, Vị trí vàng",40m,1,1,Không,48 tỷ,200 m²,7x30m,07/10/2025,"Đường Cộng Hòa, Phường Tân Bình, Hồ Chí Minh"
BÁN NHÀ ĐƯỜNG TAM CHÂU_ GẦN 100M2_ GIÁ 5 TỶ,5m,1,1,Không,5 tỷ,99 m²,"4,7x21m",07/10/2025,"Đường Tam Châu, Phường Tam Bình, Hồ Chí Minh"
"Bán nhà hẻm xe hơi 1 trục thẳng sát MT Trường Chinh, P14 Tân Bình, gần Etown, 72m2 3 tầng",6m,3,5,Có,"10,5 tỷ",72 m²,4x18m,06/10/2025,"Đường Trường Chinh, Phường Tân Bình, Hồ Chí Minh"
"KDC TÂN PHÚ TRUNG LIỀN KỀ VIN CỦ CHI, SỔ HỒNG RIÊNG, XÂY TỰ DO 1,9TỶ/NỀN",12m,N/A,N/A,Không,"1,9 tỷ",100 m²,5x20m,06/10/2025,"Đường Cây Da, Xã Củ Chi, Hồ Chí Minh"
"Siêu Phẩm Tòa Nhà CHDV An Dương Vương, Q.5 Dòng Tiền Cao, Vị Trí Trung Tâm, Giá Cực Tốt!",8m,8,33,Không,40 tỷ,107 m²,"6,4x18,3m",06/10/2025,"Đường An Dương Vương, Phường Chợ Quán, Hồ Chí Minh"
"MT Sát Q1 ,Lê Văn Duyệt ,Bình Thạnh ,Giá chỉ 24ty",30m,5,7,Không,24 tỷ,74 m²,4x13m,06/10/2025,"Đường Lê Văn Duyệt, Phường Gia Định, Hồ Chí Minh"
Bán Nền Đất KDC Tây Lân - 50m2 Sổ Hồng Riêng Hẻm Oto 7m,7m,N/A,N/A,Không,"3,2 tỷ",50 m²,5x10m,06/10/2025,"Đường Tây Lân, Phường Tân Tạo, Hồ Chí Minh"
"Bán gấp 104C đường số 23, Phường 11, Quận 6, DT: 4 x 31, 4 tầng, giá 23.5 tỷ",30m,4,7,Không,"23,5 tỷ",123 m²,4x31m,05/10/2025,"Đường số 23, Phường Bình Phú, Hồ Chí Minh"
"Bán gấp mặt tiền Hai Bà Trưng, P6, Quận 3 - DT 8x30m - hầm, 10 tầng - giá 158 tỷ",30m,11,10,Không,158 tỷ,240 m²,N/A,05/10/2025,"Đường Hai Bà Trưng, Phường Xuân Hòa, Hồ Chí Minh"
"NHÀ BÁN: HXH, QL13, 80M2, 5 TẦNG, MỚI TOANH_ DÒNG TIỀN GẦN 30TR/TH_GIÁ 6,9 TỶ",6m,4,7,Không,"6,9 tỷ",80 m²,"6,3x13m",05/10/2025,"Quốc Lộ 13, Phường Hiệp Bình, Hồ Chí Minh"
Siêu phẩm HXH Phạm Văn Chiêu 3 tầng BTCT - Nhà Đẹp FULL nội thất,6m,2,4,Không,"5,68 tỷ",32 m²,N/A,05/10/2025,"Đường Lê Đức Thọ, Phường An Hội Tây, Hồ Chí Minh"
"Cần Bán Biệt Thự Cao Thắng, Phường 5, Quận 3, Ngang 13mx18m, 4 Tầng, GÍA 80 TỶ",12m,4,6,Có,80 tỷ,240 m²,13x18m,04/10/2025,"Đường Cao Thắng, Phường Bàn Cờ, Hồ Chí Minh"
TẶNG 50 TRIỆU MỖI THÁNG CHO NGƯỜI MUA CĂN NHÀ MẶT TIỀN ĐƯỜNG TRẦN THIỆN CHÁNH QUẬN 10,12m,4,4,Không,29 tỷ,102 m²,6x17m,03/10/2025,"Đường Trần Thiện Chánh, Phường Hòa Hưng, Hồ Chí Minh"
"Bán Đất Vườn Lài,diện tích 57m2 Giá 4.3 Tỷ,Sát Gò Vấp,Chuẩn 100%",8m,N/A,N/A,Không,"4,3 tỷ",57 m²,"4x14,3m",03/10/2025,"Đường Vườn Lài, Phường An Phú Đông, Hồ Chí Minh"
"BÁN NHÀ 2 MẶT TIỀN HOÀNG HOA THÁM 13,5 X 28 CN 310M2",30m,1,1,Không,100 tỷ,310 m²,"13,5x28m",29/09/2025,"Đường Hoàng Hoa Thám, Phường Gia Định, Hồ Chí Minh"
"BÁN TÒA NHÀ MẶT TIỀN PHAN XÍCH LONG 9,25 X 30 HẦM 9 LẦU 95 TỈ",25m,9,1,Không,95 tỷ,1496 m²,"9,52x30m",29/09/2025,"Đường Phan Xích Long, Phường Cầu Kiệu, Hồ Chí Minh"
"CHÍNH CHỦ CẦN BÁN NHÀ ĐƯỜNG SỐ 16A, KP11, P BÌNH HƯNG HÒA A, QUẬN BÌNH TÂN, HCM",N/A,N/A,N/A,Không,"9,5 tỷ",136 m²,N/A,18/07/2022,"Đường Số 16A, Phường Bình Hưng Hòa, Hồ Chí Minh"
"Bán nhà ( 8 X 12 ) Lê Văn Quới Hẻm xe hơi vào nhà, 4 tầng nội thất nhập khẩu giá 7,7 tỷ.",6m,3,4,Có,"7,7 tỷ",88 m²,8x12m,07/10/2025,"Đường Lê Văn Quới, Phường Bình Tân, Hồ Chí Minh"
"số 9 50.1 m2, 1 lầu, 6 x 9 , 3tỷ3 Linh Tây Thủ Đức",3m,1,2,Không,"3,3 tỷ",50 m²,"6x8,5m",07/10/2025,"Đường số 9, Phường Linh Xuân, Hồ Chí Minh"
"Kha Vạn Cân 50.1 m2 ,1 lầu, 5 x 10 , 2.tỷ7 Linh Tây Thủ Đức",3m,1,1,Không,"2,7 tỷ",50 m²,5x10m,07/10/2025,"Đường Kha Vạn Cân, Phường Linh Xuân, Hồ Chí Minh"
"Bán gấp MT Quang Trung P10 gv, 4x20m vuông vức 3 lầu giá 21 tỷ tl, đct 50tr/th",30m,3,4,Không,21 tỷ,80 m²,4x20m,07/10/2025,"Đường Quang Trung, Phường Gò Vấp, Hồ Chí Minh"
"CƠ HỘI CUỐI SỞ HỮU NHÀ 6 TẦNG LIỀN KỀ VẠN PHÚC - VEN SÔNG SÀI GÒN, CÓ THANG MÁY, ĐƯỜNG 9M",10m,5,6,Có,"11,3 tỷ",66 m²,"4,1x16m",07/10/2025,"Quốc Lộ 13, Phường Hiệp Bình, Hồ Chí Minh"
"Chính chủ: Nhà đúc 3.5 tấm - đường 7m sát mặt tiền QL13 - Ô tô đậu trong nhà, cần ra gấp",6m,4,4,Có,"6,8 tỷ",61 m²,"4,25x15m",07/10/2025,"Quốc Lộ 13, Phường Hiệp Bình, Hồ Chí Minh"
Chỉ cần nhỉnh 13 tỷ có ngay Biệt thự 4 tầng - sát SÂN BAY Tân Sơn Nhất - hẻm 8m - NHÀ MỚI,8m,4,8,Không,13 tỷ,90 m²,N/A,07/10/2025,"Đường Bạch Đằng, Phường Tân Sơn Hòa, Hồ Chí Minh"
"Chỉ nhỉnh 8,5 tỷ có ngay mặt tiền sân bay ngay lối vào nhà ga T3 Hoàng Hoa Thám - Tân Bình",20m,1,1,Không,"8,5 tỷ",55 m²,N/A,07/10/2025,"Đường Hoàng Hoa Thám, Phường Tân Bình, Hồ Chí Minh"
"Nhỉnh 5,6 tỷ - Nhà Trường Chinh - Bàu Cát - Tân Bình - 4.2x10m - 2 tầng",3m,1,2,Không,"5,6 tỷ",42 m²,"4,2x10m",07/10/2025,"Đường Trường Chinh, Phường Tân Bình, Hồ Chí Minh"
"Chỉ nhỉnh 13.8 tỷ có ngay HXH Lạc Long Quân, Phường 10, Quận Tân Bình - DT 10x15m - c4.",1m,1,1,Không,"13,8 tỷ",150 m²,10x15m,07/10/2025,"Đường Lạc Long Quân, Phường Bảy Hiền, Hồ Chí Minh"
"Rẻ nhất khu vực MTKD đường Nguyễn Hồng Đào, 4.1m x 16m giá 16.5 tỷ còn bớt",8m,4,3,Không,"16,5 tỷ",67 m²,N/A,07/10/2025,"Đường Nguyễn Hồng Đào, Phường Tân Bình, Hồ Chí Minh"
Cần Bán Nhà Trệt Mới - Sổ Hồng Riêng - Hẻm 2806 Huỳnh Tấn Phát,4m,1,2,Có,"1,96 tỷ",56 m²,"4,2x12m",07/10/2025,"Đường Huỳnh Tấn Phát, Xã Nhà Bè, Hồ Chí Minh"
"🏡 BÁN NHÀ MẶT TIỀN ĐƯỜNG NGUYỄN BÌNH, GIÁ 10.9 TỶ 💥 - NHÀ 2 TẦNG - DTSD : 230m2 ( Cách L",20m,2,5,Có,"10,9 tỷ",232 m²,6x38m,07/10/2025,"Đường Nguyễn Bình, Xã Hiệp Phước, Hồ Chí Minh"
"Bán Toà Căn Hộ Dịch Vụ khu Phan Xích Long, Phú Nhuận. 6m x 22m. Hầm 5 Tầng. Giá 23 Tỷ TL",8m,5,12,Không,23 tỷ,128 m²,6x22m,07/10/2025,"Đường Phan Xích Long, Phường Cầu Kiệu, Hồ Chí Minh"
"Cần Bán Nhà Góc 3 MT Điện Biên Phủ, Bình Thạnh. 12m x 22m. GPXD: Hầm 8 Tầng. Giá 95 Tỷ TL",30m,1,1,Không,95 tỷ,244 m²,12x22m,07/10/2025,"Đường Điện Biên Phủ, Phường Gia Định, Hồ Chí Minh"
"Building MT Trần Bình Trọng, Quận 5. 10 x 20m. Hầm 7 Tầng. Có HĐT 360 Triệu. Giá 150 Tỷ TL",20m,8,9,Không,150 tỷ,200 m²,10x20m,07/10/2025,"Đường Trần Bình Trọng, Phường Chợ Quán, Hồ Chí Minh"
"Khách Sạn 2 MT Bùi Thị Xuân, P. Bến Thành. 8m x 20m. 10 Tầng. 40 Phòng. Giá 250 Tỷ TL",20m,10,40,Không,250 tỷ,165 m²,8x20m,07/10/2025,"Đường Bùi Thị Xuân, Phường Bến Thành, Hồ Chí Minh"
"Nhà hxh Trường Sơn,Tân Bình. 10m x 28m. KVXD: Hầm 7 Tầng. Thu Nhập 300 Triệu. Giá 55 Tỷ",8m,8,35,Không,55 tỷ,270 m²,10x28m,07/10/2025,"Đường Trường Sơn, Phường Tân Sơn Hòa, Hồ Chí Minh"
"Bán nhà MTKD đường Trường Chinh, P14, Tân Bình. Giá từ 36 tỷ giảm 29.5 tỷ bán nhanh",20m,5,4,Không,"29,5 tỷ",112 m²,N/A,07/10/2025,"Đường Trường Chinh, Phường Tân Bình, Hồ Chí Minh"
"Bán tòa nhà VP mặt tiền đường Cộng Hòa, P12, Tân Bình - có vỉa hè. 6 lầu giá 28.5 tỷ TL",30m,6,6,Không,"28,5 tỷ",80 m²,N/A,07/10/2025,"Đường Cộng Hòa, Phường Bảy Hiền, Hồ Chí Minh"
"NHÀ ĐẸP 4 LẦU THANG MÁY BÀNH VĂN TRÂN, P7, TÂN BÌNH - 6,5mx17m CHỈ 20.3 TỶ",10m,4,7,Không,"20,3 tỷ",110 m²,"6,5x17m",07/10/2025,"Đường Bành Văn Trân, Phường Tân Sơn Nhất, Hồ Chí Minh"
"Bán nhà mặt tiền đường Nguyễn Thái Bình - ngay K300, P12, Tân Bình. DT: 6m x 26m, 153 m2",10m,4,4,Không,"26,9 tỷ",153 m²,N/A,07/10/2025,"Đường Nguyễn Thái Bình, Phường Bảy Hiền, Hồ Chí Minh"
"Bán CHDV đường Cộng Hòa, P13, Tân Bình. DT: 6.2m x 27m, 150 triệu/tháng",8m,5,32,Không,"27,9 tỷ",158 m²,N/A,07/10/2025,"Đường Cộng Hòa, Phường Tân Bình, Hồ Chí Minh"
"Bán biệt thự 2 mặt tiền khu K300, P12, Tân Bình. Diện tích 221,4 m2 giá 60 tỷ",12m,3,4,Không,60 tỷ,221 m²,N/A,07/10/2025,"Đường Quách Văn Tuấn, Phường Bảy Hiền, Hồ Chí Minh"
"Bán căn góc 2 mặt tiền đường Cộng Hòa, P13, Tân Bình. DT: 5.2m x 16m, nhà 4 lầu",8m,4,4,Không,17 tỷ,82 m²,N/A,07/10/2025,"Đường Cộng Hòa, Phường Tân Bình, Hồ Chí Minh"
"Bán nhà đẹp ngang 9 X 10m, 4 tầng, sân vườn, HXH 8m ngay Emart Phan Huy Ích, 8.599 tỷ",8m,4,4,Có,"8,599 tỷ",80 m²,9x10m,07/10/2025,"Đường Phan Huy Ích, Phường An Hội Tây, Hồ Chí Minh"
"Bán nhà Mặt Tiển Kinh Doanh Phường 12 Gò Vấp,Nguyễn Tư Giản, 120m, 3 tầng, 12,x tỷ",12m,3,6,Có,"12,5 tỷ",120 m²,4x30m,07/10/2025,"Đường Nguyễn Tư Giản, Phường An Hội Tây, Hồ Chí Minh"
PHÁT MÃI DÃY TRỌ 16 PHÒNG NGAY KCN BONCHEN GIÁ 935TR THU NHẬP 25TR/THÁNG,5m,N/A,16,Có,935 triệu,300 m²,10x30m,07/10/2025,"Đường Hưng Nhơn, Xã Tân Nhựt, Hồ Chí Minh"
THANH LÝ CĂN NHÀ 1 TRỆT 1 LẦU QL 50 GIÁ 1tỷ035 CHO THUÊ 12tr/THÁNG,5m,1,3,Có,"1,035 tỷ",100 m²,5x20m,07/10/2025,"Đường Quốc Lộ 50, Xã Bình Hưng, Hồ Chí Minh"
TÂN PHÚ - PHÙNG CHÍ KIÊN - 60M2 - A4 - HẺM 4.5M CHUẨN - CHỈ 5 TỶ 1,"4,5m",2,2,Không,"5,1 tỷ",60 m²,4x15m,07/10/2025,"Đường Phùng Chí Kiên, Phường Tân Sơn Nhì, Hồ Chí Minh"
"Bán nhà phường 12 gò vấp, Phan Huy Ích, 6x24m, 4 tầng, ô tô vô nhà, 8 tỷ",5m,4,4,Có,"8,1 tỷ",140 m²,6x24m,07/10/2025,"Đường Phan Huy Ích, Phường An Hội Tây, Hồ Chí Minh"
"Mặt tiền nhánh Phan Huy Ích, P15 Tân Bình, gần sân bay, 115m, 4 tầng, ngang gần 5m, 12.x ỷ",12m,4,6,Có,"12,5 tỷ",115 m²,5x21m,07/10/2025,"Đường Phan Huy Ích, Phường Tân Sơn, Hồ Chí Minh"
"80tr vừa đất và Nhà, hẻm ô tô tránh, Thống Nhất Gò Vấp, 5 Tầng, 6x35m, 13.xx tỷ",6m,5,10,Có,"13,999 tỷ",210 m²,6x35m,07/10/2025,"Đường Thống Nhất, Phường An Hội Tây, Hồ Chí Minh"
"Bán nhà Mặt tiền Chợ Hoàng Hoa Thám, Phường 13 Tân Bình, 5x14m, Đường 8m, 11.x tỷ",8m,1,1,Có,"11,9 tỷ",70 m²,5x14m,07/10/2025,"Đường Hoàng Hoa Thám, Phường Tân Bình, Hồ Chí Minh"
"Bán nhà hẻm ô tô, Phan Huy Ích, Phường 15 Tân Bình,5x15m, 3 tầng, 4pn, 6.xx tỷ",4m,3,4,Có,"6,999 tỷ",75 m²,5x15m,07/10/2025,"Đường Phạm Văn Bạch, Phường Tân Sơn, Hồ Chí Minh"
"Bán Nhà MT Bùi Thị Xuân, P. Bến Thành Giá 65 Tỷ TL",12m,4,5,Không,65 tỷ,94 m²,4x23m,07/10/2025,"Đường Bùi Thị Xuân, Phường Bến Thành, Hồ Chí Minh"
"Bán Nhà MT Kinh Doanh Sầm Uất Chu Mạnh Trinh, Phường Bến Nghé, Quận 1 Ngang 5,2M Giá 65 Tỷ",16m,6,6,Không,65 tỷ,71 m²,"5,5x13m",07/10/2025,"Đường Chu Mạnh Trinh, Phường Sài Gòn, Hồ Chí Minh"
"Bán Nhà Siêu Vị Trí NgayVòng Xoay Phù Đổng Đường CMT8 Dòng Tiền 180 Triệu/tháng,Giá 35,5Tỷ",12m,5,10,Không,"35,5 tỷ",80 m²,"4,2x19m",07/10/2025,"Đường Cách Mạng Tháng Tám, Phường Bến Thành, Hồ Chí Minh"
"Cần Bán Hotel ngang 5M, Khu Vực Trần Hưng Đạo Quận 1, Dòng Tiền 90Tr/Tháng giá chỉ 46 Tỷ",20m,7,19,Không,46 tỷ,88 m²,"4,8x19m",07/10/2025,"Đường Trần Hưng Đạo, Phường Cầu Ông Lãnh, Hồ Chí Minh"
Bán Nhà Xô Viết Nghệ Tĩnh Gần Hàng Xanh - 7 Tầng - Ngang 10m - 47.9 Tỷ,10m,8,15,Có,"47,9 tỷ",250 m²,10x24m,07/10/2025,"Đường Xô Viết Nghệ Tĩnh, Phường Thạnh Mỹ Tây, Hồ Chí Minh"
"Mặt tiền đường Hiệp Nhất - Tự Lập, Tân Bình (6.1x30m) 3 tầng - Giá bán chỉ 22 tỷ TL",12m,3,3,Không,22 tỷ,175 m²,"6,1x30m",07/10/2025,"Đường Tự Lập, Phường Tân Sơn Nhất, Hồ Chí Minh"
Siêu phẩm khan hiếm MT Ngay trục Nguyễn Hoàng Q.2 - 14x24m - 4 tầng HĐT 160tr giá 86 tỷ.,16m,4,4,Không,"86,1 tỷ",3000 m²,14x25m,07/10/2025,"Đường Nguyễn Hoàng, Phường An Khánh, Hồ Chí Minh"
BÁN NHÀ 4 TẦNG - 94M2 - NGAY TRƯỜNG TIỂU HỌC PHAN HUY ÍCH TÂN BÌNH - NHỈNH 7 TỶ,4m,4,5,Không,"7,9 tỷ",94 m²,5x20m,07/10/2025,"Đường Huỳnh Văn Nghệ, Phường Tân Sơn, Hồ Chí Minh"
Bán nhà căn góc MT Dân Tộc Tân Phú 11x18m đúc 1 lầu giá 32.5 tỷ TL (gần Nguyễn Hậu),12m,1,5,Không,"32,5 tỷ",199 m²,11x18m,07/10/2025,"Đường Dân Tộc, Phường Tân Sơn Nhì, Hồ Chí Minh"
"Mặt Tiền NC4 Huỳnh Văn Nghệ, Phạm Văn Bạch Đa Ngành,5.05 x 18M, Đường 12M có lề, 10 Tỷ",12m,1,2,Có,10 tỷ,89 m²,"5,05x18m",07/10/2025,"Đường Huỳnh Văn Nghệ, Phường An Hội Tây, Hồ Chí Minh"
Bán nhà MT Hồ Ngọc Cẩn Tân Phú 10x21m giá 29.5 tỷ TL (gần Trương Vĩnh Ký),12m,N/A,N/A,Không,"29,5 tỷ",210 m²,10x21m,07/10/2025,"Đường Hồ Ngọc Cẩn, Phường Tân Sơn Nhì, Hồ Chí Minh"
"Toà nhà 7 tầng Hẻm xe hơi đường 3 tháng 2 (3,6mx17,5m). Giá 13 tỷ",8m,7,6,Có,13 tỷ,61 m²,"3,6x17,5m",07/10/2025,"Đường 3/2, Phường Vườn Lài, Hồ Chí Minh"
"GIÁ RẺ NGAY TTTM GIGA MALL NẰM TRÊN ĐƯỜNG SỐ 10, THỦ ĐỨC. GIÁ 4.77TỶ/86,5M2 (5M x 17,3M).",10m,3,5,Có,"4,77 tỷ",86 m²,"5x17,3m",07/10/2025,"Đường Số 10, Phường Hiệp Bình, Hồ Chí Minh"
"💎 BÁN NHÀ Q2: 5 TẦNG MỚI – CÓ GARA + HỒ BƠI + PHÒNG XÔNG HƠI - 106M² – CHỈ 9,79 TỶ",6m,5,5,Có,"9,79 tỷ",106 m²,6x18m,07/10/2025,"Đường Nguyễn Thị Định, Phường Cát Lái, Hồ Chí Minh"
